Case_number,District_name,Week_day,Year,Month,Day_month,Time,Type_of_vehicle,Sex,Age,Person_type,Injury_severity,Day,Holiday,Vacation_day,Numero_expedient_count,Number of victims,Slightly injured,Severely injured,Weekend Exists,Season,Density,TM,HRM,PM,PPT,RS24h,VVM10,Time_segment
2021S000111    ,Sarrià-Sant Gervasi,Friday,2021,1,8,15,Motorcycle,Woman,34,Driver,1,08/01/2021,Not Holiday,False,1,0,1,0,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000112    ,Horta-Guinardó,Friday,2021,1,8,18,Motorcycle,Man,42,Driver,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000113    ,Nou Barris,Friday,2021,1,8,15,Motorcycle,Man,23,Driver,3,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000114    ,Sants-Montjuïc,Friday,2021,1,8,21,Ciclomotor,Woman,26,Driver,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000115    ,Ciutat Vella,Friday,2021,1,8,19,Motorcycle,Man,43,Driver,1,08/01/2021,Not Holiday,False,2,0,1,0,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000116    ,Les Corts,Friday,2021,1,8,20,Bicycle,Woman,6,Pedestrian,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000117    ,Sants-Montjuïc,Friday,2021,1,8,21,Veh. motor personal mobility,Man,15,Driver,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000118    ,Sant Andreu,Friday,2021,1,8,18,Motorcycle,Woman,39,Driver,2,08/01/2021,Not Holiday,False,2,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000119    ,Ciutat Vella,Friday,2021,1,8,20,Motorcycle,Man,41,Driver,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000120    ,Sants-Montjuïc,Friday,2021,1,8,22,Motorcycle,Man,51,Driver,0,08/01/2021,Not Holiday,False,1,0,1,0,True,Winter,0,6.0,53,1008.7,0.0,5.5,1.3,22-6
2021S000121    ,Eixample,Friday,2021,1,8,22,Motorcycle,Man,55,Driver,2,08/01/2021,Not Holiday,False,2,0,0,1,True,Winter,0,6.0,53,1008.7,0.0,5.5,1.3,22-6
2021S000122    ,Gràcia,Friday,2021,1,8,21,Motorcycle,Man,31,Driver,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000123    ,Eixample,Friday,2021,1,8,20,Bicycle,Woman,34,Driver,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,14-22
2021S000124    ,Eixample,Saturday,2021,1,9,13,Motorcycle,Man,28,Driver,1,09/01/2021,Not Holiday,True,1,0,1,0,False,Winter,1,6.8,72,1002.9,20.0,1.2,4.2,6-14
2021S000126    ,Les Corts,Saturday,2021,1,9,14,Tourism,Man,26,Driver,1,09/01/2021,Not Holiday,True,1,0,1,0,False,Winter,1,6.8,72,1002.9,20.0,1.2,4.2,14-22
2021S000127    ,Eixample,Saturday,2021,1,9,16,Tourism,Woman,35,Passenger,1,09/01/2021,Not Holiday,True,1,0,1,0,False,Winter,1,6.8,72,1002.9,20.0,1.2,4.2,14-22
2021S000128    ,Sarrià-Sant Gervasi,Saturday,2021,1,9,18,Motorcycle,Man,26,Driver,2,09/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,6.8,72,1002.9,20.0,1.2,4.2,14-22
2021S000129    ,Sarrià-Sant Gervasi,Saturday,2021,1,9,20,Tourism,Man,29,Driver,2,09/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,6.8,72,1002.9,20.0,1.2,4.2,14-22
2021S000130    ,Sants-Montjuïc,Saturday,2021,1,9,21,Motorcycle,Woman,25,Driver,1,09/01/2021,Not Holiday,True,1,0,1,0,False,Winter,1,6.8,72,1002.9,20.0,1.2,4.2,14-22
