Numero_expedient,Descripcio_causa_mediata
2021S000670    ,No hi ha causa mediata
2021S000681    ,No hi ha causa mediata
2021S000699    ,Alcoholèmia
2021S000705    ,Excés de velocitat o inadequada
2021S000707    ,No hi ha causa mediata
2021S000690    ,No hi ha causa mediata
2021S000680    ,No hi ha causa mediata
2021S000706    ,No hi ha causa mediata
2021S000708    ,Alcoholèmia
2021S000696    ,No hi ha causa mediata
2021S000694    ,No hi ha causa mediata
2021S000701    ,No hi ha causa mediata
2021S000686    ,No hi ha causa mediata
2021S000697    ,No hi ha causa mediata
2021S000679    ,No hi ha causa mediata
2021S000695    ,No hi ha causa mediata
2021S000683    ,No hi ha causa mediata
2021S000702    ,No hi ha causa mediata
2021S000687    ,No hi ha causa mediata
2021S000700    ,Alcoholèmia
2021S000698    ,No hi ha causa mediata
2021S000692    ,No hi ha causa mediata
2021S000693    ,No hi ha causa mediata
2021S000682    ,No hi ha causa mediata
2021S000709    ,No hi ha causa mediata
2021S000688    ,No hi ha causa mediata
2021S000691    ,No hi ha causa mediata
2021S000684    ,No hi ha causa mediata
2021S000685    ,No hi ha causa mediata
2021S000704    ,No hi ha causa mediata
2021S000703    ,No hi ha causa mediata
2021S000689    ,No hi ha causa mediata
2021S000718    ,No hi ha causa mediata
2021S000721    ,No hi ha causa mediata
2021S000724    ,No hi ha causa mediata
2021S000712    ,No hi ha causa mediata
2021S000715    ,No hi ha causa mediata
2021S000711    ,No hi ha causa mediata
2021S000722    ,No hi ha causa mediata
2021S000714    ,No hi ha causa mediata
2021S000717    ,No hi ha causa mediata
2021S000720    ,No hi ha causa mediata
2021S000716    ,No hi ha causa mediata
2021S000719    ,No hi ha causa mediata
2021S000710    ,Alcoholèmia
2021S000713    ,No hi ha causa mediata
2021S000751    ,No hi ha causa mediata
2021S000741    ,Alcoholèmia
2021S000740    ,No hi ha causa mediata
2021S000755    ,No hi ha causa mediata
2021S000726    ,No hi ha causa mediata
2021S000732    ,No hi ha causa mediata
2021S000730    ,No hi ha causa mediata
2021S000734    ,No hi ha causa mediata
