EMA;DATA;TM;TX;Data Extrem TX;TN;Data Extrem TN;HRM;HRX;Data Extrem HRX;HRN;Data Extrem HRN;PM;PX;Data Extrem PX;PN;Data Extrem PN;PPT;RS24h;VVM10;DVM10;VVX10;Data Extrem VVX10;DVVX10
X4;20/02/2021;11,7;14,6;2021-02-20 14:23:00;9,1;2021-02-20 04:56:00;78;97;2021-02-20 01:31:00;63;2021-02-20 13:35:00;1016,2;1017,7;2021-02-20 10:42:00;1014,9;2021-02-20 23:58:00;0;7,8;1,5;180;4,9;2021-02-20 14:33:00;172
X4;21/02/2021;13,5;14,8;2021-02-21 23:31:00;11,4;2021-02-21 03:00:00;77;82;2021-02-21 07:45:00;70;2021-02-21 10:47:00;1010,7;1015;2021-02-21 00:00:00;1007,3;2021-02-21 23:23:00;0;6;4,9;69;14,9;2021-02-21 17:18:00;80
X4;22/02/2021;13,6;14,8;2021-02-22 01:34:00;12;2021-02-22 18:43:00;93;100;2021-02-22 09:01:00;79;2021-02-22 00:00:00;1014,5;1023,4;2021-02-22 23:59:00;1007,2;2021-02-22 00:46:00;10,2;1,8;2,2;77;14,4;2021-02-22 01:02:00;61
X4;23/02/2021;14,5;18,9;2021-02-23 13:00:00;13,1;2021-02-23 00:00:00;88;98;2021-02-23 18:35:00;54;2021-02-23 12:46:00;1029,1;1032,6;2021-02-23 22:30:00;1023,4;2021-02-23 00:00:00;0;12,4;1,9;87;6;2021-02-23 00:20:00;80
X4;24/02/2021;14;17,2;2021-02-24 13:30:00;12,7;2021-02-24 23:52:00;85;95;2021-02-24 19:36:00;60;2021-02-24 13:30:00;1030,3;1032,4;2021-02-24 00:35:00;1028,2;2021-02-24 17:44:00;0;15,7;1,4;134;5;2021-02-24 15:17:00;125
X4;25/02/2021;13,8;17;2021-02-25 13:52:00;12,5;2021-02-25 00:40:00;76;95;2021-02-25 20:16:00;56;2021-02-25 13:47:00;1026,9;1028,8;2021-02-25 00:00:00;1024,9;2021-02-25 15:35:00;0;11,4;1,5;182;8;2021-02-25 14:07:00;230
X4;26/02/2021;13,4;15,5;2021-02-26 13:15:00;11,1;2021-02-26 23:33:00;73;84;2021-02-26 23:38:00;59;2021-02-26 13:17:00;1025,6;1027,6;2021-02-26 00:30:00;1023,7;2021-02-26 23:30:00;0;9,2;1,3;140;5,7;2021-02-26 13:54:00;123
X4;27/02/2021;13,3;16,9;2021-02-27 13:38:00;9,9;2021-02-27 07:31:00;73;87;2021-02-27 23:33:00;55;2021-02-27 12:20:00;1021,2;1023,8;2021-02-27 00:23:00;1019,3;2021-02-27 16:44:00;0;14,7;1,6;240;7,8;2021-02-27 13:30:00;202
X4;28/02/2021;13,2;15,8;2021-02-28 13:49:00;11,7;2021-02-28 06:20:00;71;87;2021-02-28 00:06:00;56;2021-02-28 13:49:00;1021,1;1022,2;2021-02-28 22:00:00;1019,9;2021-02-28 03:32:00;0;15,9;2,5;80;8,9;2021-02-28 20:36:00;82
X4;01/03/2021;13,4;15;2021-03-01 12:04:00;12,1;2021-03-01 06:01:00;72;88;2021-03-01 19:36:00;56;2021-03-01 12:01:00;1022;1023,3;2021-03-01 23:47:00;1021,1;2021-03-01 14:40:00;0;9,6;3,1;73;9,4;2021-03-01 10:03:00;91
X4;02/03/2021;13,5;15,2;2021-03-02 13:20:00;12,6;2021-03-02 07:02:00;75;95;2021-03-02 20:05:00;63;2021-03-02 08:41:00;1024,8;1027;2021-03-02 23:21:00;1021,4;2021-03-02 02:24:00;0;6;3,2;75;10,1;2021-03-02 09:17:00;59
X4;03/03/2021;13,2;15,5;2021-03-03 13:00:00;12,3;2021-03-03 23:12:00;80;93;2021-03-03 23:59:00;66;2021-03-03 12:56:00;1025,6;1027,3;2021-03-03 09:34:00;1023,6;2021-03-03 23:59:00;0;10,6;1,6;77;5,4;2021-03-03 13:11:00;141
X4;04/03/2021;13,3;16;2021-03-04 11:44:00;11,9;2021-03-04 05:03:00;81;97;2021-03-04 01:42:00;62;2021-03-04 11:31:00;1018,8;1023,7;2021-03-04 00:01:00;1015,3;2021-03-04 23:59:00;0;11,5;1,3;188;5,8;2021-03-04 13:57:00;172
X4;05/03/2021;13,1;15,7;2021-03-05 11:54:00;11,2;2021-03-05 06:31:00;75;83;2021-03-05 22:31:00;61;2021-03-05 11:37:00;1014,3;1016,2;2021-03-05 23:00:00;1013,1;2021-03-05 14:00:00;0;10,8;1,2;212;4,7;2021-03-05 12:10:00;208
X4;06/03/2021;12,8;14,3;2021-03-06 14:31:00;11,8;2021-03-06 02:07:00;73;84;2021-03-06 05:15:00;57;2021-03-06 11:18:00;1018,5;1020,2;2021-03-06 10:48:00;1015,5;2021-03-06 03:00:00;0;10,1;1,8;89;5,6;2021-03-06 09:36:00;92
X4;07/03/2021;12,7;14,7;2021-03-07 13:25:00;11,5;2021-03-07 08:49:00;74;86;2021-03-07 21:08:00;63;2021-03-07 06:18:00;1015,4;1019,5;2021-03-07 00:00:00;1011,8;2021-03-07 23:59:00;2,4;8,4;1,7;65;5,4;2021-03-07 14:52:00;87
X4;08/03/2021;12,4;13,8;2021-03-08 12:17:00;11,3;2021-03-08 23:37:00;74;84;2021-03-08 01:50:00;64;2021-03-08 12:20:00;1010,7;1011,9;2021-03-08 23:50:00;1009,6;2021-03-08 15:40:00;1,4;5,5;1,3;55;7,3;2021-03-08 09:30:00;62
X4;09/03/2021;12,4;16,8;2021-03-09 12:41:00;10,2;2021-03-09 06:33:00;64;76;2021-03-09 22:21:00;43;2021-03-09 12:43:00;1012,5;1015,1;2021-03-09 23:59:00;1011,2;2021-03-09 04:30:00;0;13,9;1,8;295;7,2;2021-03-09 13:28:00;158
X4;10/03/2021;12,2;15,7;2021-03-10 13:31:00;8,8;2021-03-10 06:30:00;54;64;2021-03-10 20:04:00;40;2021-03-10 13:55:00;1017,1;1019;2021-03-10 22:16:00;1014,9;2021-03-10 02:37:00;0;18,7;2,1;252;8,4;2021-03-10 16:28:00;241
X4;11/03/2021;14,1;18;2021-03-11 16:22:00;10,5;2021-03-11 03:44:00;63;80;2021-03-11 23:01:00;40;2021-03-11 16:07:00;1016,8;1019;2021-03-11 00:27:00;1014,2;2021-03-11 16:14:00;0;16,9;2,3;253;9,1;2021-03-11 15:17:00;236
X4;12/03/2021;13;15,1;2021-03-12 11:44:00;11,5;2021-03-12 23:58:00;72;95;2021-03-12 05:40:00;61;2021-03-12 13:47:00;1016,3;1018,6;2021-03-12 22:55:00;1014,5;2021-03-12 02:53:00;0;8,9;1,9;121;5,8;2021-03-12 16:11:00;189
X4;13/03/2021;13,8;17,7;2021-03-13 13:55:00;10,8;2021-03-13 06:12:00;64;87;2021-03-13 23:01:00;37;2021-03-13 12:00:00;1016,4;1018,4;2021-03-13 01:00:00;1014;2021-03-13 17:04:00;0;19,2;2,4;262;11,9;2021-03-13 14:47:00;257
X4;14/03/2021;13,2;16,1;2021-03-14 13:09:00;10,5;2021-03-14 06:16:00;58;71;2021-03-14 00:49:00;43;2021-03-14 04:00:00;1016,7;1021;2021-03-14 23:49:00;1013,4;2021-03-14 03:34:00;0;18,2;2;190;9;2021-03-14 13:30:00;211
X4;15/03/2021;13,4;17,9;2021-03-15 15:06:00;9,7;2021-03-15 05:46:00;57;77;2021-03-15 23:58:00;36;2021-03-15 09:43:00;1018,4;1021;2021-03-15 00:00:00;1015,8;2021-03-15 14:45:00;0;19,8;2,1;253;7,9;2021-03-15 13:02:00;205
X4;16/03/2021;13,1;15,8;2021-03-16 13:32:00;10,6;2021-03-16 04:45:00;66;80;2021-03-16 20:38:00;44;2021-03-16 09:30:00;1019,8;1021;2021-03-16 10:00:00;1018,3;2021-03-16 03:33:00;0;19,7;1,7;217;6,1;2021-03-16 13:14:00;159
X4;17/03/2021;13,6;20,1;2021-03-17 11:01:00;10,1;2021-03-17 05:50:00;63;79;2021-03-17 00:08:00;30;2021-03-17 11:01:00;1016,6;1020,2;2021-03-17 00:00:00;1014,4;2021-03-17 16:08:00;0;16,1;1,8;197;8,8;2021-03-17 11:42:00;90
X4;18/03/2021;11,8;15,5;2021-03-18 14:04:00;7;2021-03-18 23:59:00;63;97;2021-03-18 23:34:00;39;2021-03-18 14:16:00;1013,7;1016,4;2021-03-18 00:05:00;1011,6;2021-03-18 18:33:00;5,9;17,8;2,5;171;9,8;2021-03-18 18:09:00;202
X4;19/03/2021;8,8;12,3;2021-03-19 13:54:00;6,9;2021-03-19 01:06:00;69;96;2021-03-19 00:02:00;49;2021-03-19 13:37:00;1009,1;1012,8;2021-03-19 00:00:00;1006,3;2021-03-19 14:34:00;1,3;8,9;1,5;262;6,7;2021-03-19 15:02:00;135
X4;20/03/2021;10,8;14,4;2021-03-20 13:48:00;7,9;2021-03-20 06:47:00;38;61;2021-03-20 00:47:00;27;2021-03-20 20:09:00;1012;1014,8;2021-03-20 23:10:00;1009,4;2021-03-20 03:44:00;0;20,7;2,8;47;12,1;2021-03-20 14:40:00;82
X4;21/03/2021;11,5;15,7;2021-03-21 15:36:00;7,1;2021-03-21 06:08:00;48;74;2021-03-21 23:33:00;25;2021-03-21 10:27:00;1012,4;1014,8;2021-03-21 07:30:00;1009,9;2021-03-21 16:35:00;0;21,4;1,5;211;6,7;2021-03-21 13:21:00;205
